视频时长,视频AV号,播放量,弹幕数,评论数,点赞数,投币数,分享数
160,313274069,3436146,1904,1560,198551,40848,4340
305,484824247,959514,984,624,72523,7565,1854
23,953125917,636700,248,321,13576,95,293
36,400980990,134120,5,24,2122,28,30
151,868768030,863216,829,959,79368,4098,1799
20,613797281,489263,73,515,41615,2318,1212
11,355782617,274481,56,466,36683,1039,514
210,486235574,226690,283,382,26690,995,1083
113,698758377,523480,370,601,38133,1616,1112
93,271311926,421455,661,632,30754,8749,855
100,826350683,1767184,1226,1357,168025,5866,1272
12,313789160,418299,72,490,53672,1677,370
33,697348525,681890,62,274,73655,852,281
127,698752591,2042655,855,1322,183748,3127,1044
55,698872453,497593,159,615,58496,6220,1113
75,996085187,1481346,585,557,110615,17627,7075
24,911026878,88681,29,92,12527,483,497
106,440132799,1221891,253,436,79937,3327,1593
112,571285306,214215,180,667,22092,1695,1083
104,996297763,141223,34,128,8518,257,97
24,571057927,58887,22,205,8927,642,275
18,995251101,323308,44,317,53553,160,156
107,486279845,251446,654,375,29267,2534,389
141,868739584,1554594,2472,1323,144541,18283,8855
152,313632800,1036998,855,801,74825,35897,1063
92,271294917,906733,323,3087,56314,5232,2828
19,443832865,336694,428,1940,26600,3951,9610
581,868628548,4205261,21026,5334,460084,251051,8735
78,313870563,154710,294,204,9065,651,70
64,613371129,125881,80,257,11950,456,58
37,953260477,365051,88,228,8472,639,678
27,610052639,802345,291,686,53408,672,1139
23,224727376,1045004,540,1110,45954,1266,2246
15,803596583,12054308,1364,3936,347906,47803,58500
10,84159392,765752,260,521,21147,1805,864
19,604487890,1995244,678,1706,255154,2251,5709
22,551729960,525158,296,512,36500,592,351
14,293675343,2093768,561,1380,94294,1959,1264
18,267358952,2615511,280,775,94186,1087,799
110,909392855,186091,188,469,19221,1669,158
109,868370363,255397,183,231,14075,1159,537
32,442228110,799019,238,531,63668,661,715
505,228518271,203108,698,360,10679,1463,243
12,226036865,390814,158,410,38277,437,628
14,933934322,851820,62,1526,35500,507,684
17,396174471,625710,262,541,24501,1236,307
29,438261245,864031,576,888,96022,2158,9127
16,225954134,791653,202,521,39663,355,526
34,951805394,870518,808,1544,74963,2630,4056
35,484619896,328752,123,262,21828,419,374
9,588597487,17523692,616,2965,184129,7483,7005
9,270755440,330199,148,598,57230,4818,1880
21,739021874,231079,99,273,12724,462,59
8,443301608,23213,1,33,4286,95,11
34,939003593,1839489,946,1177,201569,1946,2141
580,485797369,13087,128,91,675,148,5
29,270850308,309458,32,377,20049,180,213
18,485752898,525421,85,373,44350,2665,1220
12,355831697,454191,65,396,32193,305,467
114,613284413,2152068,1282,947,179854,41358,11542
245,868321476,60571,81,122,1036,73,1
7,783252597,19220,7,47,6553,193,18
79,655755946,3605951,1485,1862,422643,8911,3323
108,953183857,1706857,1616,3057,20504,1114,18279
23,685726096,3175188,787,1272,194483,5003,8906
18,270778323,55781,12,88,6107,478,50
11,400769225,265185,41,108,21668,343,104
16,485864535,1442771,192,1555,161814,1144,1083
300,698339960,2071770,4238,2737,82773,9100,6745
90,783336950,1779202,1848,1077,229356,3010,2035
209,698659933,805314,1359,910,74920,9155,5693
122,257264141,17938586,41614,9876,1078720,516001,196918
166,270745162,3534925,2368,2449,347535,167204,23293
158,355903423,3197760,2912,3507,342434,233648,28799
76,910808485,1846867,1403,2939,232910,14337,13511
138,395507053,3162342,2019,2849,111557,9452,55559
116,697913711,4332971,2802,2313,359169,132114,32339
276,868631781,567766,565,408,45601,7212,3030
74,867944334,555065,615,577,73155,8584,12484
219,868646266,516482,751,1026,32305,7388,3819
42,653817441,349950,58,129,7094,103,735
156,813466156,4721118,19344,4064,516060,113860,35926
75,996085187,1481346,585,557,110615,17627,7075
53,53447490,90019,34,135,569,5,40
114,613284413,2152068,1282,947,179854,41358,11542
76,401066630,1636150,483,1936,169278,16226,2525
93,271311926,421455,661,632,30754,8749,855
91,669471891,29365198,81060,18734,1249272,374086,379271
119,228613736,1378187,891,647,68316,1990,4201
13,740880268,702026,163,673,59828,4305,13020
39,86995249,2048350,9310,4924,60298,2747,45718
101,400990025,1505818,1028,886,126342,23638,13073
26,483275099,25480,2,8,329,6,16
47,312873374,1844856,556,2141,81846,3469,10475
16,909196085,5403336,687,1774,214932,11951,70226
27,301653149,717187,294,435,13268,2074,11853
147,740539557,1999342,2680,2546,291449,106291,12794
163,655908322,680815,823,1115,11187,130,2324
68,868405215,150773,274,162,6160,477,825
95,911035235,1986661,336,1141,74464,5102,3668
102,953130896,4482815,3833,1433,274031,36804,30601
61,312355523,7937126,13673,6656,553335,164399,118145
133,698079605,5405902,5233,9440,756526,330055,117643
92,271294917,906733,323,3087,56314,5232,2828
16,826136207,1553979,419,1582,125492,2505,34291
92,398541585,1306193,1066,931,136327,36227,22118
141,698275944,3590239,4333,2416,314246,50448,48483
